variable_2008,description_2008,topic_2008,variable_2014,description_2014,topic_2014
TDIVINC,Total amount of all dividend income,Assets,TINC_STMF,"Person-level sum of income earned over the reference period from stocks and mutual funds (TJSSTINC, TJOSTINC, TOSTINC, TJSMFINC, TJOMFINC, TOMFINC).",Assets
TEBDATE1,Date operation of business ended,Business,EJB1_EMONTH,The ending month of a job spell with employer 1,Labor Force
TEBDATE1,Date operation of business ended,Business,EJB1_ENDWK,Last week in the reference period where the job was held.,Labor Force
TEBDATE2,Date operation of business ended,Business,EJB2_EMONTH,The ending month of a job spell with employer 2,Labor Force
TEBDATE2,Date operation of business ended,Business,EJB2_ENDWK,Last week in the reference period where the job was held.,Labor Force
TEMPALL1,Number of employees at all locations,Job,TJB1_EMPALL,About how many people are employed by ... at ALL LOCATIONS together?,Labor Force
TEMPALL2,Number of employees at all locations,Job,TJB2_EMPALL,About how many people are employed by ... at ALL LOCATIONS together?,Labor Force
TEMPB1,Maximum number of employees,Business,TJB1_EMPB,"What is the maximum number of employees, including ..., working for ... at any given time?",Labor Force
TEMPB2,Maximum number of employees,Business,TJB2_EMPB,"What is the maximum number of employees, including ..., working for ... at any given time?",Labor Force
TEMPSIZ1,Employees at worker's location,Job,EJB1_EMPSIZE,About how many people are employed by ... at the location where ... works?,Labor Force
TEMPSIZ2,Employees at worker's location,Job,EJB2_EMPSIZE,About how many people are employed by ... at the location where ... works?,Labor Force
TFBRTHYR,Year first child was born,Fertility History,TYEAR_FB,Year of first birth,Fertility History
TFIPSST,FIPS State Code,Household,TEHC_ST,Monthly state of residence,Residences
TFMYEAR,Edited year of first marriage.,Edited Marital History,TYRFIRSTMARR,Year of first marriage,Marital History
TFRCHL,Fertility History Topical Module Variables,Fertility History,TCEB,Children ever born/fathered,Fertility History
TFTOTINC,Total family income for this month,Family,TFTOTINC,Sum of the reported monthly earning and income amounts received by all individuals in a family during the reference year,Poverty and Income
TGVJTINT,Amount of monthly int from joint US Govt securities,Assets,TJSGOVSINC,"Share of total interest income earned over the reference period from jointly-owned government securities [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse/partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TGVOINT,Amount of monthly int from own US Govt securities,Assets,TOGOVSINC,Total interest income earned over the reference period from individually-owned government securities.,Assets
THHBEQ,Business Equity,Real Estate,THEQ_BUS,"Household-level sum of equity in businesses (REQ_BUS) [this is household-level data, therefore this value is copied to every member of the household].",Assets
THHDEBT,Total debt recode,Real Estate,THDEBT_AST,"Household-level sum of all debt (TDEBT_AST) [this is household-level data, therefore this value is copied to every member of the household].",Assets
THHINTBK,Interest Earning assets held in banking institutions,Real Estate,THVAL_BANK,"Household-level sum of value of assets held at financial institutions (TVAL_BANK) [this is household-level data, therefore this value is copied to every member of the household].",Assets
THHINTOT,Interest Earning assets held in other Institutions,Real Estate,THVAL_BOND,"Household-level sum of value of other interest-earning assets (TVAL_BOND) [this is household-level data, therefore this value is copied to every member of the household].",Assets
THHIRA,Equity in IRA and KEOGH accounts,Real Estate,THVAL_RET,"Household-level sum of value of retirement accounts (TVAL_RET) [this is household-level data, therefore this value is copied to every member of the household].",Assets
THHMORTG,Total Debt owed on Home,Real Estate,THDEBT_HOME,"Household-level sum of debt against primary residence (TDEBT_HOME) [this is household-level data, therefore this value is copied to every member of the household].",Assets
THHORE,Equity in real estate that is not your own home,Real Estate,THEQ_RE,"Household-level sum of equity in other real estate (TEQ_RE) [this is household-level data, therefore this value is copied to every member of the household].",Assets
THHORE,Equity in real estate that is not your own home,Real Estate,THEQ_RENT,"Household-level sum of equity in rental properties (TEQ_RENT) [this is household-level data, therefore this value is copied to every member of the household].",Assets
THHOTAST,Equity in other assets,Real Estate,THVAL_OTH,"Household-level sum of value of other assets (TVAL_OTH) [this is household-level data, therefore this value is copied to every member of the household].",Assets
THHSCDBT,Total secured debt recode,Real Estate,THDEBT_SEC,"Household-level sum of all secured debt (TDEBT_SEC) [this is household-level data, therefore this value is copied to every member of the household].",Assets
THHTHEQ,Home Equity recode,Real Estate,THEQ_HOME,"Household-level sum of equity in primary residence (TEQ_HOME) [this is household-level data, therefore this value is copied to every member of the household].",Assets
THHTNW,Total Net Worth Recode,Real Estate,THNETWORTH,"Household-level net worth [this is household-level data, therefore this value is copied to every member of the household].",Assets
THHTWLTH,Total Wealth recode,Real Estate,THVAL_AST,"Household-level sum of all asset values (TVAL_AST) [this is household-level data, therefore this value is copied to every member of the household].",Assets
THHVEHCL,Net equity in vehicles,Real Estate,THEQ_VEH,"Household-level sum of equity in vehicles (TEQ_VEH) [this is household-level data, therefore this value is copied to every member of the household].",Assets
THOMEAMT,Monthly rent or mortgage,Real Estate,TRENTMORT,"Amount the household paid for rent or mortgage in December of the reference year [this is household-level data, therefore this value is copied to every member of the household].",Assets
THTOTINC,Total household income,Household,THTOTINC,"Sum of all earnings and income received by a household, from all household members age 15 and older for each month of the reference year",Poverty and Income
TIAITA,Amount in own interest earning account,Interest Earnings,TOCDVAL,Value of individually-owned certificates of deposits (CDs) as of the last day of the reference period.,Assets
TIAITA,Amount in own interest earning account,Interest Earnings,TOICHKVAL,Value of individually-owned interest-earning checking accounts as of the last day of the reference period.,Assets
TIAITA,Amount in own interest earning account,Interest Earnings,TOMMVAL,Value of individually-owned money market accounts and money market mutual funds as of the last day of the reference period.,Assets
TIAITA,Amount in own interest earning account,Interest Earnings,TOSAVVAL,Value of individually-owned savings accounts as of the last day of the reference period.,Assets
TIAJTA,Amount in joint interest earning account,Interest Earnings,TJSCDVAL,"Share of value of jointly-owned certificates of deposit (CDs) as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TIAJTA,Amount in joint interest earning account,Interest Earnings,TJSICHKVAL,"Share of value of jointly-owned interest-earning checking accounts as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TIAJTA,Amount in joint interest earning account,Interest Earnings,TJSMMVAL,"Share of value of jointly-owned money market accounts and money market mutual funds as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TIAJTA,Amount in joint interest earning account,Interest Earnings,TJSSAVVAL,"Share of value of jointly-owned savings accounts as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TIMJA,Amount in joint bonds/US securities,Interest Earnings,TJSGOVSVAL,"Share of value of jointly-owned government securities as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TIMJA,Amount in joint bonds/US securities,Interest Earnings,TJSMCBDVAL,"Share of value of jointly-owned municipal and corporate bonds as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TIMSTAT,Immigration status upon entry to the U.S.,Migration History,TIMSTAT,What was ... immigration status when he/she first moved to the United States?,Demographics
TINTINC,Amount of all interest income,Assets,TINC_BANK,"Person-level sum of income earned over the reference period from interest-earning assets held at financial institutions (TJSICHKINC, TJOICHKINC, TOICHKINC, TJSSAVINC, TJOSAVINC, TOSAVINC, TJSMMINC, TJOMMINC, TOMMINC, TJSCDINC, TJOCDINC, TOCDINC).",Assets
TINTINC,Amount of all interest income,Assets,TINC_BOND,"Person-level sum of income earned over the reference period from other interest-earning assets (TJSGOVSINC, TJOGOVSINC, TOGOVSINC, TJSMCBDINC, TJOMCBDINC, TOMCBDINC).",Assets
TJACLR,Amt of net rent from prop. held jointly with spouse,Assets,TJSRPNETINC,"Share of net income earned over the reference period from jointly-owned rental property [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TJACLR2,Amount of net income from rental property with others,Assets,TJORPNETINC,Share of net income earned over the reference period from jointly-owned rental property [for respondents without a spouse or civil union partner in the household].,Assets
TJARNT,Amount of gross rent from property joint with spouse,Assets,TJSRPGROINC,"Share of total gross income earned over the reference period from jointly-owned rental property [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TLANG1,What language is spoken at home,Demographic,TLANG1,What language does ... speak at home?,Demographics
TLMYEAR,Edited last year for marriage.,Edited Marital History,TYRCURRMARR,Year of current marriage,Marital History
TMDJTINT,Amount of monthly interest on joint money market,Assets,TJSMMINC,"Share of total interest income earned over the reference period from jointly-owned money market deposit accounts and money market funds [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse/partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TMDOINT,Amt of monthly interest from own money market deposit,Assets,TOMMINC,Total interest income earned over the reference period from individually-owned money market deposit accounts and money market funds.,Assets
TMHVAL,Amount mobile would sell for,Real Estate,TMHVAL,"Value of mobile home owned as primary residence as of December of the reference year [this is household-level data, therefore this value is copied to every member of the household].",Assets
TMJNTDIV,Amount of check from jointly held mutual funds,Assets,TJSMFINC,"Share of dividend income earned over the reference period from jointly-owned mutual funds [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse/partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TMOR1YRS,Total years for payments of home loan,Real Estate,TPRLOAN1YRS,"Total number of years over which payments are to be made on the first mortgage or loan against the primary residence [that is not a mobile home; this is household-level data, therefore this value is copied to every member of the household].",Assets
TMOR2YRS,Total years for payments of 2nd mortgage,Real Estate,TPRLOAN2YRS,"Total number of years over which payments are to be made on the second mortgage or loan against the primary residence [that is not a mobile home; this is household-level data, therefore this value is copied to every member of the household].",Assets
TMOVEUS,Year moved to the United States,Migration History,TYRENTRY,When did ... come to live in the U.S.?,Demographics
TMOVRFLG,Mover flag,Person,RMOVER,Recoded variable indicating mover status,Residences
TMOWNDIV,Amount of check from solely held mutual funds,Assets,TOMFINC,Total dividend income earned over the reference period from individually-owned mutual funds.,Assets
TOACLR,Amount of net income from own rental property,Assets,TORPNETINC,Net income earned over the reference period from individually-owned rental property.,Assets
TOAEQ,Equity in investments,Other Financial Assets,TOINVVAL,Total balance or market value of other financial investments as of the last day of the reference period.,Assets
TOARNT,Amount of gross rent from own property,Assets,TORPGROINC,Total gross income earned over the reference period from individually-owned rental property.,Assets
TOTHPROP,Amount of total other property income,Assets,TINC_RENT,"Person-level sum of net income from rental properties (TJSRPNETINC, TJORPNETINC, TORPNETINC).",Assets
TOTHREVA,Equity in other real estate,Real Estate,TJOREVAL,Share of value of jointly-owned other real estate as of the last day of the reference period [for respondents without a spouse or civil union partner in the household].,Assets
TOTHREVA,Equity in other real estate,Real Estate,TJSREVAL,"Share of value of jointly-owned other real estate as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TOTHREVA,Equity in other real estate,Real Estate,TOREVAL,Value of other real estate owned in own name as of the last day of the reference period.,Assets
TOV1AMT,Amount owed for first other vehicle,Real Estate,TBOATDEBTVAL,"Amount owed on the boat as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
TOV1AMT,Amount owed for first other vehicle,Real Estate,TMCYCDEBTVAL,"Amount owed on the motorcycle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
TOV1AMT,Amount owed for first other vehicle,Real Estate,TORECDEBTVAL,"Amount owed on the other recreational vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
TOV1AMT,Amount owed for first other vehicle,Real Estate,TRVDEBTVAL,"Amount owed on the RV as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
TOV1VAL,1st other vehicle value,Real Estate,TBOATVAL,"Value of the boat as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
TOV1VAL,1st other vehicle value,Real Estate,TMCYCVAL,"Value of the motorcycle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
TOV1VAL,1st other vehicle value,Real Estate,TORECVAL,"Value of the other recreational vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
TOV1VAL,1st other vehicle value,Real Estate,TRVVAL,"Value of the RV as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
TPEARN,Total person's earned income for the reference month,Person,TPEARN,Sum of earnings and profits/losses from all jobs.,Labor Force
TPERSAM1,Amount first person paid for rent,Real Estate,TRMU_AMT1,"Amount paid by the first household member who paid for basic utilities and/or mortgage or rent in December of the reference year [this is household-level data, therefore this value is copied to every member of the household].",Assets
TPERSAM2,Amount second person paid for rent,Real Estate,TRMU_AMT2,"Amount paid by the second household member who paid for basic utilities and/or mortgage or rent in December of the reference year [this is household-level data, therefore this value is copied to every member of the household].",Assets
TPERSAM3,Amount third person paid for rent,Real Estate,TRMU_AMT3,"Amount paid by the third household member who paid for basic utilities and/or mortgage or rent in December of the reference year [this is household-level data, therefore this value is copied to every member of the household].",Assets
TPOTHINC,Total person's other income for the reference month,Person,TPOTHINC,"A monthly income recode variable, which is the sum of the reported monthly amounts received by an individual from other income sources, such as: survivor benefits, retirement benefits, disability benefits, foster child care payments, child support payments, alimony payments, lump sum payments, deferred payments from prior job, life insurance payments, or miscellaneous income sources.",Poverty and Income
TPRFTB1,Net profit or loss,Business,EJB1_PFTLOSS,"Variable indicating if the respondent's business made a profit, a net loss or broke even for the year.",Labor Force
TPRFTB1,Net profit or loss,Business,TJB1_PRFTB,Amount of profit/loss a business made after correcting for any salary/wages that may have been paid to the owner.,Labor Force
TPRFTB2,Net profit or loss,Business,EJB2_PFTLOSS,"Variable indicating if the respondent's business made a profit, a net loss or broke even for the year.",Labor Force
TPRFTB2,Net profit or loss,Business,TJB2_PRFTB,Amount of profit/loss a business made after correcting for any salary/wages that may have been paid to the owner.,Labor Force
TPROPVAL,Current value of property,Real Estate,TPRVAL,"Property value of primary residence as of December of the reference year [that is not a mobile home; this is household-level data, therefore this value is copied to every member of the household].",Assets
TPTRNINC,Total means-tested cash transfer for the reference month,Person,TPTRNINC,"The sum of the reported monthly amounts received by an individual from  TANF, SSI, Pass-through child support payments, General Assistance, or general relief",Poverty and Income
TPYRATE1,Regular hourly pay rate,Job,TJB1_HOURLY1,What is/was the gross dollar amount of ... the first hourly pay rate before any taxes and other deductions?,Labor Force
TPYRATE1,Regular hourly pay rate,Job,TJB1_HOURLY2,What is/was the gross dollar amount of ... the second hourly pay rate before any taxes and other deductions?,Labor Force
TPYRATE1,Regular hourly pay rate,Job,TJB1_HOURLY3,What is/was the gross dollar amount of ... the third hourly pay rate before any taxes and other deductions?,Labor Force
TPYRATE2,Regular hourly pay rate,Job,TJB2_HOURLY1,What is/was the gross dollar amount of ... the first hourly pay rate before any taxes and other deductions?,Labor Force
TPYRATE2,Regular hourly pay rate,Job,TJB2_HOURLY2,What is/was the gross dollar amount of ... the second hourly pay rate before any taxes and other deductions?,Labor Force
TPYRATE2,Regular hourly pay rate,Job,TJB2_HOURLY3,What is/was the gross dollar amount of ... the third hourly pay rate before any taxes and other deductions?,Labor Force
TRIMV,Market value of rental property owned in own name,Rental Properties,TORPVAL,Value of individually-owned rental property as of the last day of the reference period.,Assets
TRIPRI,Principal owed on rental property in own name,Rental Properties,TORPDEBTVAL,Total debt against individually-owned rental property as of the last day of the reference period.,Assets
TRJMV,Market value of joint rent not on land of residence,Rental Properties,TJSRPVAL,"Share of value of jointly-owned rental property as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TRJPRI,Principal owed on joint rental property with spouse,Rental Properties,TJSRPDEBTVAL,"Share of total debt against jointly-owned rental property as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TROLLAMT,Amnt rolled over into retirement acct in ref. period,General Income,TROLLAMT,How much did ... roll over or plan to roll over into another retirement account?,Programs
TRTMV,Market value of joint rental property with others,Rental Properties,TJORPVAL,Share of value of jointly-owned rental property as of the last day of the reference period [for respondents without a spouse or civil union partner in the household].,Assets
TRTPRI,Principal owed on joint rental property,Rental Properties,TJORPDEBTVAL,Share of total debt against jointly-owned rental property as of the last day of the reference period [for respondents without a spouse or civil union partner in the household].,Assets
TSBDATE1,Date operation of business began,Business,EJB1_BMONTH,The beginning month of a job spell with employer 1,Labor Force
TSBDATE1,Date operation of business began,Business,EJB1_STARTWK,This variable gives the value for the first week in the reference period that the person held this job/business.,Labor Force
TSBDATE1,Date operation of business began,Business,EJB1_STRTMON,The month a job began when the job began prior to the reference period.,Labor Force
TSBDATE1,Date operation of business began,Business,TJB1_STRTYR,In what year did ... begin this job/business?,Labor Force
TSBDATE2,Date operation of business began,Business,EJB2_BMONTH,The beginning month of a job spell with employer 2,Labor Force
TSBDATE2,Date operation of business began,Business,EJB2_STARTWK,This variable gives the value for the first week in the reference period that the person held this job/business.,Labor Force
TSBDATE2,Date operation of business began,Business,EJB2_STRTMON,The month a job began when the job began prior to the reference period.,Labor Force
TSBDATE2,Date operation of business began,Business,TJB2_STRTYR,In what year did ... begin this job/business?,Labor Force
TSJNTDIV,Amount of dividend check from jointly held stocks,Assets,TJSSTINC,"Share of dividend income earned over the reference period from jointly-owned stocks [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse/partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TSMIV,Value of stocks/funds in own name,Stocks and Mutual Funds,TOMFVAL,Value of individually-owned mutual funds as of the last day of the reference period.,Assets
TSMIV,Value of stocks/funds in own name,Stocks and Mutual Funds,TOSTVAL,Value of individually-owned stocks as of the last day of the reference period.,Assets
TSMJV,Value of joint stocks/funds owned with spouse,Stocks and Mutual Funds,TJSMFVAL,"Share of value of jointly-owned mutual funds as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TSMJV,Value of joint stocks/funds owned with spouse,Stocks and Mutual Funds,TJSSTVAL,"Share of value of jointly-owned stocks as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TSOWNDIV,Amount of dividend check for solely held stocks,Assets,TOSTINC,Total dividend income earned over the reference period from individually-owned stocks.,Assets
TSUPAMPD,Amount paid in past year,Support for Nonhousehold Members,TAMOUNTPAID,How much child support did ... pay?,Programs
TSUPNKID,Number of children supporting,Support for Nonhousehold Members,TNUMKIDS,How many children under 21 who live elsewhere does ... have?,Programs
TSVJTINT,Amount of monthly interest on joint savings account,Assets,TJSSAVINC,"Share of total interest income earned over the reference period from jointly-owned savings accounts [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse/partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TSVOINT,Amount of monthly interest from own savings account,Assets,TOSAVINC,Total interest income earned over the reference period from individually-owned savings accounts.,Assets
TUTILS,Amount paid for utilities per month,Real Estate,TUTILS,"Amount the household paid for basic utilities in December of the reference year [this is household-level data, therefore this value is copied to every member of the household].",Assets
TVBDE1,The total debt owed against the first business,Value of Business,TBSJ1DEBTVAL,Amount of debt against the first business owned as job as of the end of the reference period.,Assets
TVBDE2,The total debt owed against the second business,Value of Business,TBSJ2DEBTVAL,Amount of debt against the second business owned as job as of the end of the reference period.,Assets
TVBVA1,The value of the business for the first business,Value of Business,TBSJ1VAL,Value of first business owned as a job as of the last day of the reference period [not including debts against the business].,Assets
TVBVA2,The value of the business for business two,Value of Business,TBSJ2VAL,Value of second business owned as a job as of the last day of the reference period [not including debts against the business].,Assets
UEVRDIV,UNEDITED VARIABLE - Has ... ever been divorced?,Demographic,EVERDIV,Has ... ever been divorced?,Marital History
UEVRWID,UNEDITED VARIABLE - Has ... ever been widowed?,Demographic,EVERWID,Has ... ever been widowed?,Marital History
